hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
라마트라,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,51.0,10.7,0.4005111882627695,2.4595888418037104,0.4771920032813759,0.431183514270212,A
D.VA,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,48.3,10.0,-0.3020415585370226,2.3978952727983707,0.3874404654683861,-0.026248748934859,B
겐지,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,52.7,8.4,0.8428592140256018,2.2407096892759584,0.1587675572443928,0.5692225513131182,S
도미나,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,52.5,9.0,0.7908182698182091,2.302585092994046,0.2487836274123754,0.5740044128558757,S
둠피스트,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,48.7,2.7,-0.1979596701222372,1.308332819650179,-1.1976502869385606,-0.5978359168487666,C
라이프위버,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,44.2,5.5,-1.368880914788556,1.8718021769015911,-0.3779174989159704,-0.9724955484395218,C
라인하르트,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,49.6,7.2,0.0362245788110262,2.104134154270207,-0.039921941386121,0.0057659707321672,B
레킹볼,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,53.2,2.1,0.9729615745440816,1.1314021114911006,-1.4550483172299211,0.0017576178344805,B
로드호그,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,46.9,5.0,-0.6663281679887658,1.791759469228055,-0.4943632844368842,-0.5975422145680132,C
루시우,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,50.7,8.4,0.3224497719516823,2.2407096892759584,0.1587675572443928,0.2569768860687665,A
리퍼,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,56.2,14.5,1.753575737654961,2.740840023925201,0.8863550086659437,1.406687446059354,S
마우가,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,51.3,6.0,0.4785726045738567,1.9459101490553132,-0.2701055410047158,0.1791013463424277,A
